t,survival_rate,expected_benefit,actuarial_present_value
0,2.0,0.0,282095.06723461987
1,1.991,5000.0,282941.3524363237
2,1.9820410000000002,4977.0,278775.17649363267
3,1.973122811,4954.107,274619.57102311356
4,1.964245244881,4931.320497,270474.4604151828
5,1.955408114400851,4908.639990387001,266339.76933793735
6,1.9466112331901257,4886.064981923577,262215.42273559293
7,1.9378544157480089,4863.594975736517,258101.34582693034
8,1.9291374774382075,4841.229478305502,253997.4641037474
9,1.9204602344848791,4818.967998451852,249903.70332931817
10,1.9118225039685819,4796.810047327318,245819.9895368589
11,1.9032241038222417,4774.755138402936,241746.2490280001
12,1.8946648528271393,4752.802787457927,237682.40837126592
13,1.8861445706089164,4730.952512568654,233628.39440055937
14,1.877663077633601,4709.203834097637,229584.13421365464
15,1.8692201952036513,4687.556274682607,225549.55517069565
16,1.8608157454540182,4666.009359225631,221524.58489270104
17,1.852449551348228,4644.562614882273,217509.1512600758
18,1.8441214366744807,4623.215571050821,213503.18241112906
19,1.8358312260417702,4601.967759361554,209506.60674059845
20,1.8275787448760206,4580.818713666071,205519.3528981806
21,1.819363819416242,4559.767970026658,201541.34978706803
22,1.8111862767107039,4538.815066705728,197572.52656249248
23,1.803045944613127,4517.9595441552865,193612.81263027407
24,1.7949426517788942,4497.200945006463,189662.13764537714
25,1.7868762276612775,4476.538814059097,185720.43151047174
26,1.7788465025076836,4455.972698271356,181787.62437450187
27,1.7708533073559187,4435.502146749424,177863.64663125918
28,1.7628964740304698,4415.126710737224,173948.42891796326
29,1.7549758351388025,4394.845943606199,170041.9021138477
30,1.74709122406768,4374.659400845139,166143.9973387522
31,1.7392424749794944,4354.566640050056,162254.64595172077
32,1.7314294228086213,4334.567220914112,158373.7795496057
33,1.7236519032577866,4314.66070521759,154501.32996567764
34,1.715909752794453,4294.846656817918,150637.22926824138
35,1.7082028086472243,4275.12464163974,146781.40975925775
36,1.7005309088022647,4255.494227665028,142933.80397297084
37,1.692893891999737,4235.954984923255,139094.3446745417
38,1.6852915977302558,4216.506485481606,135262.9648586873
39,1.6777238662313603,4197.148303435234,131439.59774832526
40,1.670190538484,4177.880014897569,127624.1767932247
41,1.6626914562090411,4158.701197990674,123816.63566866209
42,1.6552264618637873,4139.611432835643,120016.90827408341
43,1.6477953986385168,4120.610301543048,116224.92873177149
44,1.6403981104530363,4101.697388203429,112440.63138551911
45,1.6330344419532523,4082.872278877836,108663.95079930761
46,1.6257042385077574,4064.1345615884093,104894.82175599106
47,1.6184073462044328,4045.4838263090105,101133.17925598583
48,1.611143611847068,4026.9196649558935,97378.95851596583
49,1.6039128829519955,1649.9783283255504,93632.09496756297
50,1.5967150077447416,1643.3784150122483,92258.0629891551
51,1.589549835156694,1636.8049013521993,90886.52862786526
52,1.5824172148217839,1630.2576817467905,89517.4728976926
53,1.5753169970731848,1623.7366510198033,88150.87686159363
54,1.568249032940027,1617.2417044157241,86786.72163120554
55,1.5612131741441257,1610.7727375980612,85424.98836657018
56,1.5542092730967287,1604.3296466476688,84065.65827585902
57,1.5472371828952758,1597.9123280610781,82708.71261509896
58,1.5402967573201738,1591.520678748834,81354.132687899
59,1.5333878508315897,1585.1545960338385,80001.8998451776
60,1.5265103185662565,1578.813977649703,78651.99548489117
61,1.519664016334295,1572.4987217391042,77304.40105176318
62,1.5128488006160494,1566.208726852148,75959.09803701415
63,1.5060645285589418,1559.9438919447393,74616.06797809248
64,1.4993110579743356,1553.7041163769602,73275.29245840617
65,1.4925882473344196,1547.4892999114525,71936.75310705528
66,1.4858959557691034,1541.2993427118067,70600.43159856525
67,1.4792340430629283,1535.1341453409595,69266.309652621
68,1.4726023696519936,1528.9936087595956,67934.36903380188
69,1.4660007966208957,1522.8776343245574,66604.5915513174
70,1.459429185699685,1516.7861237872592,65276.959058743814
71,1.4528873992608324,1510.7189792921101,63951.453453761416
72,1.4463753003162159,1504.6761033749417,62628.0566778927
73,1.4398927525141154,1498.6573989614417,61306.7507162413
74,1.4334396201362276,1492.662769365596,59987.517597231694
75,1.4270157680946907,1486.6921182881335,58670.339392349684
76,1.4206210619291246,1480.7453498149812,57355.19821588373
77,1.4142553678036869,1474.8223684157213,56042.07622466694
78,1.4079185525041396,1468.9230789420585,54730.955617819964
79,1.4016104834349319,1463.04738662629,53421.81863649453
80,1.3953310286162974,1457.195197079785,52114.64756361784
81,1.3890800566813617,1451.3664162914658,50809.42472363766
82,1.3828574368732678,1445.5609506263002,49506.13248226823
83,1.3766630390423136,1439.778706823795,48204.75324623685
84,1.3704967336431002,1434.0195919964997,46905.26946303128
85,1.3643583917316988,1428.2835136285137,45607.66362064789
86,1.3582478849628274,1422.5703795739996,44311.91824734042
87,1.352165085587041,1416.8800980557037,43018.015911369715
88,1.3461098664479376,1411.212577663481,41725.93922075394
89,1.3400821009793744,1405.567727352827,40435.67082301973
90,1.3340816632026993,1399.9454564434157,39147.1934049539
91,1.3281084277239943,1394.345674617642,37860.48969235601
92,1.322162269731334,1388.7682919191716,36575.542449791574
93,1.3162430649920531,1383.2132187514947,35292.33448034601
94,1.310350689850031,1377.6803658764886,34010.848625379294
95,1.3044850212229873,1372.1696444129827,32731.06776428131
96,1.29864593659979,1366.6809658353307,31452.974814227928
97,1.292833314037777,1361.2142419719894,30176.55272993777
98,1.2870470321600902,1355.7693850041014,28901.784503429677
99,1.2812869701530216,1350.3463074640852,27628.65316378085
100,1.2755530077633737,1344.9449222342287,26357.141776885714
101,1.2698450252958295,1339.5651425452918,25087.233445215435
102,1.264162903610338,1334.2068819751105,23818.91130757815
103,1.2585065241195097,1328.8700544472101,22552.158538879845
104,1.2528757687860268,1323.5545742294212,21286.958349885932
105,1.247270520120063,1318.2603559325034,20023.293986983477
106,1.2416906611767171,1312.9873145087734,18761.148731944126
107,1.2361360755534587,1307.7353652507381,17500.505901687655
108,1.2306066473875863,1302.5044237897353,16241.348848046224
109,1.2251022613536957,1297.294406094576,14983.660957529257
110,1.2196228026611624,1292.105228470198,13727.425651088983
111,1.2141681570516347,1286.9368075563173,12472.62638388664
112,1.2087382107965396,1281.7890603260919,11219.246645059311
113,1.2033328506945993,1276.6619040847875,9967.269957487419
114,1.1979519640693606,1271.5552564684485,8716.679877562838
115,1.192595438766735,1266.4690354425748,7467.4599949576705
116,1.1872631631525516,1261.4031593008044,6219.59393239364
117,1.1819550261101208,1256.3575466636012,4973.065345412113
118,1.1766709170378087,1251.3321164769468,3727.8579221447562
119,1.171410725846625,1246.326788011039,2483.9553830848126
120,1.1661743429578215,1241.3414808589948,1241.3414808589948
121,1.1609616593005003,0.0,0.0
122,1.1557725663092357,0.0,0.0
123,1.1506069559217065,0.0,0.0
