t,calendar_month,t_end,interest_rate,coupon,nominal_value,present_value
0,12.0,114.0,0.0022,0.0,0.0,1042.0877334268935
1,1.0,114.0,0.0022,0.0,0.0,1044.3803264404326
2,2.0,114.0,0.0022,0.0,0.0,1046.6779631586014
3,3.0,114.0,0.0022,0.0,0.0,1048.9806546775503
4,4.0,114.0,0.0022,0.0,0.0,1051.2884121178408
5,5.0,114.0,0.0022,0.0,0.0,1053.6012466245002
6,6.0,114.0,0.0022,30.0,0.0,1055.9191693670741
7,7.0,114.0,0.0022,0.0,0.0,1028.1761915396817
8,8.0,114.0,0.0022,0.0,0.0,1030.438179161069
9,9.0,114.0,0.0022,0.0,0.0,1032.7051431552234
10,10.0,114.0,0.0022,0.0,0.0,1034.977094470165
11,11.0,114.0,0.0022,0.0,0.0,1037.2540440779994
12,12.0,114.0,0.0022,0.0,0.0,1039.536002974971
13,1.0,114.0,0.0022,0.0,0.0,1041.822982181516
14,2.0,114.0,0.0022,0.0,0.0,1044.1149927423153
15,3.0,114.0,0.0022,0.0,0.0,1046.4120457263484
16,4.0,114.0,0.0022,0.0,0.0,1048.7141522269465
17,5.0,114.0,0.0022,0.0,0.0,1051.0213233618458
18,6.0,114.0,0.0022,30.0,0.0,1053.3335702732418
19,7.0,114.0,0.0022,0.0,0.0,1025.584904127843
20,8.0,114.0,0.0022,0.0,0.0,1027.8411909169242
21,9.0,114.0,0.0022,0.0,0.0,1030.1024415369416
22,10.0,114.0,0.0022,0.0,0.0,1032.368666908323
23,11.0,114.0,0.0022,0.0,0.0,1034.6398779755211
24,12.0,114.0,0.0022,0.0,0.0,1036.9160857070672
25,1.0,114.0,0.0022,0.0,0.0,1039.1973010956226
26,2.0,114.0,0.0022,0.0,0.0,1041.483535158033
27,3.0,114.0,0.0022,0.0,0.0,1043.7747989353807
28,4.0,114.0,0.0022,0.0,0.0,1046.0711034930384
29,5.0,114.0,0.0022,0.0,0.0,1048.372459920723
30,6.0,114.0,0.0022,30.0,0.0,1050.6788793325486
31,7.0,114.0,0.0022,0.0,0.0,1022.9243728670804
32,8.0,114.0,0.0022,0.0,0.0,1025.174806487388
33,9.0,114.0,0.0022,0.0,0.0,1027.4301910616603
34,10.0,114.0,0.0022,0.0,0.0,1029.690537481996
35,11.0,114.0,0.0022,0.0,0.0,1031.9558566644564
36,12.0,114.0,0.0022,0.0,0.0,1034.2261595491182
37,1.0,114.0,0.0022,0.0,0.0,1036.5014571001261
38,2.0,114.0,0.0022,0.0,0.0,1038.7817603057465
39,3.0,114.0,0.0022,0.0,0.0,1041.0670801784192
40,4.0,114.0,0.0022,0.0,0.0,1043.3574277548119
41,5.0,114.0,0.0022,0.0,0.0,1045.6528140958724
42,6.0,114.0,0.0022,30.0,0.0,1047.9532502868833
43,7.0,114.0,0.0022,0.0,0.0,1020.1927474375145
44,8.0,114.0,0.0022,0.0,0.0,1022.437171481877
45,9.0,114.0,0.0022,0.0,0.0,1024.6865332591371
46,10.0,114.0,0.0022,0.0,0.0,1026.9408436323072
47,11.0,114.0,0.0022,0.0,0.0,1029.2001134882983
48,12.0,114.0,0.0022,0.0,0.0,1031.4643537379725
49,1.0,114.0,0.0022,0.0,0.0,1033.733575316196
50,2.0,114.0,0.0022,0.0,0.0,1036.0077891818917
51,3.0,114.0,0.0022,0.0,0.0,1038.287006318092
52,4.0,114.0,0.0022,0.0,0.0,1040.5712377319917
53,5.0,114.0,0.0022,0.0,0.0,1042.860494455002
54,6.0,114.0,0.0022,30.0,0.0,1045.154787542803
55,7.0,114.0,0.0022,0.0,0.0,1017.3881280753972
56,8.0,114.0,0.0022,0.0,0.0,1019.6263819571631
57,9.0,114.0,0.0022,0.0,0.0,1021.8695599974689
58,10.0,114.0,0.0022,0.0,0.0,1024.1176730294633
59,11.0,114.0,0.0022,0.0,0.0,1026.3707319101281
60,12.0,114.0,0.0022,0.0,0.0,1028.6287475203305
61,1.0,114.0,0.0022,0.0,0.0,1030.8917307648753
62,2.0,114.0,0.0022,0.0,0.0,1033.159692572558
63,3.0,114.0,0.0022,0.0,0.0,1035.4326438962175
64,4.0,114.0,0.0022,0.0,0.0,1037.7105957127892
65,5.0,114.0,0.0022,0.0,0.0,1039.9935590233574
66,6.0,114.0,0.0022,30.0,0.0,1042.2815448532087
67,7.0,114.0,0.0022,0.0,0.0,1014.5085642518859
68,8.0,114.0,0.0022,0.0,0.0,1016.7404830932401
69,9.0,114.0,0.0022,0.0,0.0,1018.9773121560452
70,10.0,114.0,0.0022,0.0,0.0,1021.2190622427885
